Vector DB, LLM, Embedding Model, Chunking Size, Chunk Overlap Size, Speed (Indexing), Memory Usage (Indexing), Speed (Embedding), Memory Usage (Embedding), Retrieval Quality Score (Lesrene), Retrieval Quality Score (Pavi), Retrieval Quality Score (Zainab), Retrieval Quality Score (Avg)
redis,mistral,nomic-embed-text,300,50,166.80778312683105,19992576,208.42910385131836,208896,4,3,3,3.3
redis,mistral,nomic-embed-text,300,50,288.2657051086426,10674176,300.49676418304443,217896,3,3,3,3
chroma,mistral,nomic-embed-text,300,50,182.23740410804749,64360448,0.5237829685211182,4947968,2,2,3,2.3
chroma,mistral,nomic-embed-text,300,50,180.076993227005,68186112,0.3997969627380371,5017600,4,4,4,4
faiss,mistral,nomic-embed-text,300,50,160.67770624160767,33390592,0.0006687641143798828,3520132,2,3,4,3
faiss,mistral,nomic-embed-text,300,50,586.7749581336975,40206336,0.0043909549713134766,3540432,5,4,4,4.3
faiss,mistral,nomic-embed-text,300,50,164.78908395767212,38187008,99.64183115959167,2523136,3,4,4,3.6
faiss,mistral,nomic-embed-text,300,50,160.48120498657227,42602496,100.2778148651123,4173824,5,5,3,4.3
redis,mistral,nomic-embed-text,300,50,1123.45027359481424,178200000,325.78600051837831,245760,4,3,5,4
chroma,llama2,all-MiniLM-L6-v2,500,100,1245.67655334344029 ,152900000,1.89630113487848,7893120,4,4,4,4
redis,llama2,nomic-embed-text,500,50,1198.32458323437734,180500000,340.62588899095160,269824,3,3,2,2.6
faiss,llama2,all-mpnet-base-v2,300,50,1098.65023892452177,139800000,195.87381080150307,4681728,4,4,4,4
redis,mistral,all-MiniLM-L6-v2,1000,100,1309.21316128833558,185600000,3.02105040053160,9052160,4,3,4,3.6
chroma,llama2,all-mpnet-base-v2,300,50,1134.89550220163244,159200000,1.78813155094445,7212544,4,4,4,4
redis,llama2,all-mpnet-base-v2,300,100,1104.39589058740461,179300000,315.99313686888477,254976,3,3,3,3
chroma,mistral,nomic-embed-text,1000,50,1334.65332184528209,161800000,2.45644530643197,8923136,4,4,4,4
redis,mistral,all-mpnet-base-v2,1000,50,1298.54229228223829,186700000,3.40074803713578,9237504,3,3,3,3
faiss,mistral,all-MiniLM-L6-v2,500,50,1203.98781607491064,145200000,230.76237871178119,5499392,4,5,5,4.6
chroma,mistral,all-mpnet-base-v2,500,50,1256.79543903363541,163500000,2.20002755868163,8607744,4,5,4,4.6
faiss,llama2,nomic-embed-text,300,100,1150.32142267042157,141900000,215.90548721187339,5184512,3,4,5,4
chroma,llama2,all-mpnet-base-v2,1000,100,1364.23991228219794,165900000,2.85005069501135,9403584,4,5,4,4.6
faiss,mistral,all-MiniLM-L6-v2,300,50,1175.61440588956783,144000000,220.30532456419413,5278720,5,3,3,3.6
redis,llama2,nomic-embed-text,500,100,1268.49149489940191,192100000,3.80089689387132,9883136,3,3,4,3.3
faiss,llama2,all-mpnet-base-v2,300,50,1190.32244060646026,146800000,235.45059142457778,5576704,4,4,3,3.6
redis,mistral,all-MiniLM-L6-v2,500,50,1276.65531691668217,194500000,4.02052321146245,10005888,3,3,3,3
chroma,llama2,nomic-embed-text,1000,100,1387.45334998150765,169900000,2.95397576496082,9605120,5,5,3,4.3
redis,llama2,all-mpnet-base-v2,500,50,1302.34035125783423,196200000,4.25365490083869,10203136,3,5,4,4
chroma,mistral,all-MiniLM-L6-v2,1000,50,1375.21072288510776,171400000,3.05347159514706,9783168,5,4,4,4.3
faiss,llama2,nomic-embed-text,300,100,1240.87504668090194,150900000,245.92926653170712,5787648,4,4,4,4
chroma,mistral,all-mpnet-base-v2,500,100,1445.23089689387132,184700000,3.95322440606460,10714240,4,5,4,4.3
faiss,mistral,all-MiniLM-L6-v2,1000,50,1392.87845421102062,153800000,2.85444783518009,9232128,5,5,4,4.6
chroma,mistral,all-MiniLM-L6-v2,500,100,1368.21112091452472,175600000,3.15446240196501,9958400,3,4,4,3.6
faiss,llama2,all-mpnet-base-v2,1000,50,1456.89948564430489,162000000,3.85056142457778,9959168,5,5,5,5
redis,mistral,all-MiniLM-L6-v2,300,50,1270.98002703306186,203800000,5.00719389514528,10823680,3,3,3,3
faiss,mistral,all-MiniLM-L6-v2,1000,100,1423.54834751952932,157600000,3.40771955072642,9605120,5,5,5,5
redis,llama2,all-mpnet-base-v2,300,50,1298.33840710940880,206500000,5.20214999774893,11005440,3,4,3,3.3
chroma,mistral,all-MiniLM-L6-v2,500,50,1408.76123906321948,180200000,3.55714596774493,10309120,4,4,4,4
redis,mistral,all-MiniLM-L6-v2,300,100,1324.76291004131810,208900000,5.40731688726386,11207680,2,2,4,2.6
faiss,mistral,all-MiniLM-L6-v2,1000,50,1456.89262248929621,162000000,3.85317779437536,9959168,5,5,5,5
redis,llama2,nomic-embed-text,300,50,1345.32853859328560,211600000,5.65915694761957,11405312,2,3,4,3
chroma,mistral,all-MiniLM-L6-v2,500,100,1445.23912523212489,184700000,3.95289881874327,10714240,4,4,4,4